datetime_utc,time,open,high,low,close,Growth Arrow,VIX,Global Bottom,Local Bottom,Infl Osc (Hist),Infl Oscillator,Infl Signal,Risk Oscillator,Risk Signal,Macro Infl (C-BEI),Macro Risk (VIX),Macro Base,β Pure (×1000),β Risk (×1000),Pure Hedge Signal,Risk Contamination,VIX Short,VIX Long,USDJPY Flash Z,ES Flash Z,VIX Flash Z
2026-05-07T14:30:00Z,1778164200,80369.1,80406.3,80000.1,80130.1,48,17.4,0,0,31,31,32.08809188867625,-1,1.1887387854231324,-451.40343751915424,-569.9248925942871,-500,160.87285050588181,383.1673792399523,0,0,19.05,20.5,-0.04925207375846184,0.13906020910240377,-0.5267530857374058
2026-05-07T15:00:00Z,1778166000,80130.2,80242.3,79605,79818.5,48,17.4,0,0,31,31,31.870473510941004,-2,0.5509910283385058,-453.4783393837299,-569.974710906556,-500,160.87285033961842,383.1673790875492,0,0,19.23,20.67,0.622670901266849,-0.9014300314051004,0.3183343692638146
2026-05-07T15:30:00Z,1778167800,79818.5,80037.8,79755.1,79861.6,48,17.4,0,0,31,31,31.696378808752804,-3,-0.15920717732919543,-455.50719473610866,-569.9863707424265,-500,160.87285022877617,383.16737898594715,0,0,19.3,20.7,0.6540686810058505,-1.4367417217316985,1.0807598255291135
2026-05-07T16:00:00Z,1778169600,79861.5,79975.6,79667.4,79959.4,48,17.4,0,0,22,22,29.757103047002243,-3,-0.7273657418633565,-457.44371176726884,-570.0112223889319,-500,132.2705136416283,383.66988118309916,0,0,19.2,20.61,0.8104693400802456,-0.9552150282796324,0.7427047517247538
2026-05-07T16:30:00Z,1778171400,79959.3,79991.7,79707,79763.3,48,17.4,0,0,16,16,27.005682437601795,-3,-1.1818925934906852,-459.40848653198145,-570.0431811277365,-500,113.2022892501964,384.00488264786713,0,0,19.2,20.62,0.9226044322314549,-2.4554299560163217,0.7317376826223303
2026-05-07T17:00:00Z,1778173200,79763.3,79904.9,79461.5,79654.5,48,17.4,0,0,12,12,24.004545950081436,-4,-1.7455140747925482,-460.98966535977394,-570.0213162404993,-500,100.49013965590846,384.22821695771245,0,0,19.4,20.77,1.478594820019308,-4.307416644198122,2.3003726464510534
2026-05-07T17:30:00Z,1778175000,79654.6,80094.7,79617,80053.3,48,17.4,0,0,10,10,21.203636760065148,-4,-2.1964112598340386,-462.83662578363936,-570.0986818527776,-500,92.0153732597165,384.37710649760936,0,0,19.1,20.57,0.7315515496170913,-2.562146731603985,-0.7411938978454494
2026-05-07T18:00:00Z,1778176800,80053.3,80183.5,80034.2,80081,48,17.4,0,0,8,8,18.562909408052118,-5,-2.757129007867231,-464.60248836539836,-570.141587802487,-500,86.36552899558852,384.47636619087393,0,0,19.1,20.53,0.6737025686488025,-2.1091976326066737,-1.1559629512344693
2026-05-07T18:30:00Z,1778178600,80081.1,80235,79952.7,80160.1,48,17.4,0,0,6,6,16.050327526441695,-5,-3.2057032062937845,-466.38498468775987,-570.1673926194344,-500,82.59896615283654,384.542539319717,0,0,19.09,20.5,0.5764155747208728,-1.7600924835280793,-0.5782142263997362
2026-05-07T19:00:00Z,1778180400,80160.1,80160.1,79885.9,79922.4,48,17.4,0,0,5,5,13.840262021153356,-6,-3.7645625650350274,-468.0574292764429,-570.0973292546762,-500,80.08792425766856,384.5866547389457,0,0,19.3,20.61,0.5500039677704273,-1.2187656524580284,0.7518183111896556
2026-05-07T19:30:00Z,1778182200,79922.4,80175.6,79922.4,80103.1,48,17.4,0,0,5,5,12.072209616922684,-6,-4.211650052028022,-469.73383603760493,-570.1985451901946,-500,78.41389632755656,384.61606501843147,0,0,19.05,20.55,0.45323477787693095,0.41255032065267133,-2.038426301591931
2026-05-07T20:00:00Z,1778184000,80103.1,80331.6,80039.4,80125.1,48,17.07,0,0,4,4,10.457767693538148,-6,-4.569320041622417,-471.41300043811754,-570.3451629562431,-500,77.2978777074819,384.635671871422,0,0,18.95,20.5,0.6712581167893933,-0.01446334908712421,-0.8160979326044229
2026-05-07T20:30:00Z,1778185800,80125,80125,79809.3,79838.2,48,17.07,0,0,-8,-8,6.766214154830518,-8,-5.255456033297934,-472.8189589617229,-570.3448232046773,-500,38.97629023694483,380.8528148282136,0,0,19.3,20.7,0.6198549991027248,-0.83631122063795,1.352453220664194
2026-05-07T21:00:00Z,1778187600,79838.3,79875.3,79576.3,79875.3,48,17.07,0,0,-16,-16,2.212971323864414,-9,-6.004364826638347,-474.2233115831638,-570.3436612295524,-500,13.428565256586772,378.33091013274134,0,0,19.3,20.7,0.03333727493512044,-0.7224563590803519,1.3858877079924263
2026-05-07T21:30:00Z,1778189400,79875.3,79888,79676.5,79683.7,48,17.07,0,0,-21,-21,-2.4296229409084695,-10,-6.803491861310677,-475.6253717310357,-570.3416851263057,-500,-3.6032513969852658,376.64964033575984,0,0,19.3,20.7,0.19934370749753813,-0.33882882255527846,0.11102240494989694
2026-05-07T22:00:00Z,1778191200,79683.7,79946.3,79531.1,79850.5,48,17.07,0,0,-24,-24,-6.743698352726776,-10,-7.442793489048542,-477.10472931883464,-570.4023749958499,-500,-14.957795832699958,375.5287938044388,0,0,19.2,20.67,0.1344961659866073,-0.691046722478514,1.0562358016302478
2026-05-07T22:30:00Z,1778193000,79850.5,79915.5,79694.3,79872.1,48,17.07,0,0,-27,-27,-10.79495868218142,-11,-8.154234791238833,-478.5039837417571,-570.4392938483876,-500,-22.527492123176415,374.7815627835582,0,0,19.3,20.75,0.17332309335783228,-1.4587459661175455,2.2573147382288212
2026-05-07T23:00:00Z,1778194800,79872.1,79972.3,79820,79905.6,48,17.07,0,0,-28,-28,-14.235966945745137,-11,-8.723387832991067,-480.0041406296996,-570.5120762375284,-500,-27.573956316827392,374.28340876963773,0,0,19.23,20.72,0.22413883212261002,-0.060305297241103374,-0.3250545796799179
2026-05-07T23:30:00Z,1778196600,79905.5,80026.4,79871.9,79969.4,48,17.07,0,0,-29,-29,-17.18877355659611,-12,-9.378710266392854,-481.57630936113554,-570.6316855018492,-500,-30.938265779261375,373.95130609369073,0,0,19.11,20.65,0.5082620620236729,0.4919717070157519,-1.0364286314068616
2026-05-08T00:00:00Z,1778198400,79969.5,80106.3,79920,79976,48,17.07,0,0,-30,-30,-19.75101884527689,-12,-9.902968213114283,-483.0680222647855,-570.7174739007567,-500,-33.18113875421736,373.7299043097261,0,0,19.1,20.6,0.24394096684999225,0.7990145333359372,-1.0961454612039991
2026-05-08T00:30:00Z,1778200200,79976,79996.1,79671,79796.1,48,17.07,0,0,-30,-30,-21.80081507622151,-12,-10.322374570491426,-484.598852696404,-570.8455634544679,-500,-34.67638740418802,373.5823031204163,0,0,19.05,20.6,0.3708902608570969,0.8302261437314967,-0.8111714142288321
